brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,clean_title_missing,vehicle_age,milage_bin,brand_model,model_year_milage,log_price,brand_model_year,brand_milage,fuel_type_milage,brand_clean_title_missing,fuel_type_clean_title_missing,accident_clean_title_missing,brand_fuel_type,accident_clean_title
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300,0,11,50k-100k,Ford_Utility Police Interceptor Base,102663000,9.239899174217728,Ford_2013,Ford_51000,E85 Flex Fuel_51000,Ford_0,E85 Flex Fuel_0,At least 1 accident or damage reported_0,Ford_E85 Flex Fuel,At least 1 accident or damage reported_Yes
Hyundai,Palisade SEL,2021,34742,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005,0,3,<50k,Hyundai_Palisade SEL,70213582,10.54547300900014,Hyundai_2021,Hyundai_34742,Gasoline_34742,Hyundai_0,Gasoline_0,At least 1 accident or damage reported_0,Hyundai_Gasoline,At least 1 accident or damage reported_Yes
Lexus,RX 350 RX 350,2022,22372,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None reported,Unknown,54598,1,2,<50k,Lexus_RX 350 RX 350,45236184,10.907752531025471,Lexus_2022,Lexus_22372,Gasoline_22372,Lexus_1,Gasoline_1,None reported_1,Lexus_Gasoline,None reported_Unknown
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,15500,0,9,50k-100k,INFINITI_Q50 Hybrid Sport,179133500,9.648595302907339,INFINITI_2015,INFINITI_88900,Hybrid_88900,INFINITI_0,Hybrid_0,None reported_0,INFINITI_Hybrid,None reported_Yes
Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,None reported,Unknown,34999,1,3,<50k,Audi_Q3 45 S line Premium Plus,19876535,10.463074768634808,Audi_2021,Audi_9835,Gasoline_9835,Audi_1,Gasoline_1,None reported_1,Audi_Gasoline,None reported_Unknown
Acura,ILX 2.4L,2016,136397,Gasoline,2.4 Liter,F,Silver,Ebony.,None reported,Unknown,14798,1,8,100k-150k,Acura_ILX 2.4L,274976352,9.602247315485496,Acura_2016,Acura_136397,Gasoline_136397,Acura_1,Gasoline_1,None reported_1,Acura_Gasoline,None reported_Unknown
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,31000,0,7,50k-100k,Audi_S3 2.0T Premium Plus,169428000,10.341742483467284,Audi_2017,Audi_84000,Gasoline_84000,Audi_0,Gasoline_0,None reported_0,Audi_Gasoline,None reported_Yes
BMW,740 iL,2001,242000,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,None reported,Yes,7300,0,23,>200k,BMW_740 iL,484242000,8.895629627136483,BMW_2001,BMW_242000,Gasoline_242000,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Lexus,RC 350 F Sport,2021,23436,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,41927,0,3,<50k,Lexus_RC 350 F Sport,47364156,10.64368528978735,Lexus_2021,Lexus_23436,Gasoline_23436,Lexus_0,Gasoline_0,None reported_0,Lexus_Gasoline,None reported_Yes
Tesla,Model X Long Range Plus,2020,34000,Gasoline,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,69950,0,4,<50k,Tesla_Model X Long Range Plus,68680000,11.155535980093628,Tesla_2020,Tesla_34000,Gasoline_34000,Tesla_0,Gasoline_0,None reported_0,Tesla_Gasoline,None reported_Yes
